Abomasnow Mega Abomasnow,,
Abra,Kadabra,Alakazam
Absol,,
Absol Mega Absol,,
Aegislash Blade Form,,
Aegislash Shield Form,,
Aerodactyl,,
Aerodactyl Mega Aerodactyl,,
Aggron Mega Aggron,,
Aipom,Ambipom,
Alakazam Mega Alakazam,,
Alomomola,,
Altaria Mega Altaria,,
Amaura,Aurorus,
Ampharos Mega Ampharos,,
Anorith,Armaldo,
Arceus,,
Archen,Archeops,
Aron,Lairon,Aggron
Articuno,,
Articuno Galarian Form,,
Audino,,
Avalugg Hisuian Form,,
Axew,Fraxure,Haxorus
Azelf,,
Azurill,Marill,Azumarill
Bagon,Shelgon,Salamence
Baltoy,Claydol,
Banette Mega Banette,,
Barboach,Whiscash,
Basculin Blue-Striped Form,,
Basculin Red-Striped Form,,
Basculin White-Striped Form,,
Beedrill Mega Beedrill,,
Beldum,Metang,Metagross
Bellsprout,Weepinbell,Victreebel
Bergmite,Avalugg,
Bidoof,Bibarel,
Binacle,Barbaracle,
Blacephalon,,
Blastoise Mega Blastoise,,
Blaziken Mega Blaziken,,
Blitzle,Zebstrika,
Bombirdier,,
Bonsly,Sudowoodo,
Bouffalant,,
Bounsweet,Steenee,Tsareena
Braviary Hisuian Form,,
Bronzor,Bronzong,
Bruxish,,
Budew,Roselia,Roserade
Buizel,Floatzel,
Bulbasaur,Ivysaur,Venusaur
Buneary,Lopunny,
Bunnelby,Diggersby,
Burmy,Mothim,
Burmy,Wormadam Plant Cloak,
Burmy,Wormadam Sandy Cloak,
Burmy,Wormadam Trash Cloak,
Buzzwole,,
Cacnea,Cacturne,
Carbink,,
Carnivine,,
Carvanha,Sharpedo,
Castform,,
Castform Rainy Form,,
Castform Snowy Form,,
Castform Sunny Form,,
Caterpie,Metapod,Butterfree
Celebi,,
Celesteela,,
Cetoddle,Cetitan,
Charcadet,Armarouge,
Charcadet,Ceruledge,
Charizard Mega Charizard X,,
Charizard Mega Charizard Y,,
Charmander,Charmeleon,Charizard
Chatot,,
Cherubi,Cherrim Overcast Form,
Cherubi,Cherrim Sunshine Form,
Chespin,Quilladin,Chesnaught
Chikorita,Bayleef,Meganium
Chimchar,Monferno,Infernape
Chinchou,Lanturn,
Chingling,Chimecho,
Clamperl,Gorebyss,
Clamperl,Huntail,
Clauncher,Clawitzer,
Cleffa,Clefairy,Clefable
Cobalion,,
Combee,Vespiquen,
Comfey,,
Corphish,Crawdaunt,
Corsola,,
Cosmog,Cosmoem,Lunala
Cosmog,Cosmoem,Solgaleo
Cosmog,Cosmoem,Solgaleo
Cosmog,Cosmoem,Lunala
Cottonee,Whimsicott,
Crabrawler,Crabominable,
Cranidos,Rampardos,
Cresselia,,
Croagunk,Toxicroak,
Cryogonal,,
Cubchoo,Beartic,
Cubone,Marowak,
Cutiefly,Ribombee,
Cyndaquil,Quilava,Typhlosion
Darkrai,,
Darmanitan Zen Mode,,
Darumaka Galarian Form,Darmanitan Galarian Form Standard Mode,
Darumaka Galarian Form,Darmanitan Galarian Form Standard Mode,
Darumaka Galarian Form,Darmanitan Galarian Form Zen Mode,
Darumaka Galarian Form,Darmanitan Galarian Form Zen Mode,
Darumaka,Darmanitan Standard Mode,
Decidueye Hisuian Form,,
Dedenne,,
Deerling,Sawsbuck,
Deino,Zweilous,Hydreigon
Delibird,,
Deoxys Attack Form,,
Deoxys Defense Form,,
Deoxys Normal Form,,
Deoxys Speed Form,,
Dewpider,Araquanid,
Dialga,,
Dialga Origin Form,,
Diancie,,
Diancie Mega Diancie,,
Diglett Alolan Form,Dugtrio Alolan Form,
Diglett,Dugtrio,
Ditto,,
Doduo,Dodrio,
Drampa,,
Dratini,Dragonair,Dragonite
Drifloon,Drifblim,
Drilbur,Excadrill,
Drowzee,Hypno,
Druddigon,,
Ducklett,Swanna,
Dunsparce,,
Durant,,
Duskull,Dusclops,Dusknoir
Dwebble,Crustle,
Eevee,Espeon,
Eevee,Flareon,
Eevee,Glaceon,
Eevee,Jolteon,
Eevee,Leafeon,
Eevee,Sylveon,
Eevee,Umbreon,
Eevee,Vaporeon,
Ekans,Arbok,
Electrike,Manectric,
Elekid,Electabuzz,Electivire
Elgyem,Beheeyem,
Emolga,,
Enamorus Incarnate Form,,
Enamorus Therian Form,,
Entei,,
Espurr,Meowstic,
Exeggcute,Exeggutor,
Exeggutor Alolan Form,,
Falinks,,
Farfetch'd,,
Farfetch'd Galarian Form,Sirfetch'd,
Feebas,Milotic,
Fennekin,Braixen,Delphox
Ferroseed,Ferrothorn,
Finneon,Lumineon,
Flabebe,Floette,Florges
Fletchling,Fletchinder,Talonflame
Fomantis,Lurantis,
Foongus,Amoonguss,
Frigibax,Arctibax,Baxcalibur
Frillish,Jellicent,
Froakie,Frogadier,Greninja
Fuecoco,Crocalor,Skeledirge
Furfrou,,
Garchomp Mega Garchomp,,
Gardevoir Mega Gardevoir,,
Gastly,Haunter,Gengar
Genesect,,
Gengar Mega Gengar,,
Geodude Alolan Form,Graveler Alolan Form,Golem Alolan Form
Geodude,Graveler,Golem
Gible,Gabite,Garchomp
Gimmighoul Roaming Form,Gholdengo,
Girafarig,,
Giratina Altered Form,,
Giratina Origin Form,,
Glalie Mega Glalie,,
Glameow,Purugly,
Gligar,Gliscor,
Goldeen,Seaking,
Golett,Golurk,
Goomy,Sliggoo,Goodra
Gothita,Gothorita,Gothitelle
Greavard,Houndstone,
Grimer Alolan Form,Muk Alolan Form,
Grimer,Muk,
Groudon,,
Groudon Primal Groudon,,
Growlithe Hisuian Form,Arcanine Hisuian Form,
Growlithe,Arcanine,
Grubbin,Charjabug,Vikavolt
Gulpin,Swalot,
Guzzlord,,
Gyarados Mega Gyarados,,
Happiny,Chansey,Blissey
Hawlucha,,
Heatmor,,
Heatran,,
Helioptile,Heliolisk,
Heracross,,
Heracross Mega Heracross,,
Hippopotas,Hippowdon,
Ho-Oh,,
Honedge,Doublade,
Hoopa Hoopa Confined,,
Hoopa Hoopa Unbound,,
Hoothoot,Noctowl,
Hoppip,Skiploom,Jumpluff
Horsea,Seadra,Kingdra
Houndoom Mega Houndoom,,
Houndour,Houndoom,
Igglybuff,Jigglypuff,Wigglytuff
Illumise,,
Inkay,Malamar,
Jangmo-o,Hakamo-o,Kommo-o
Jirachi,,
Joltik,Galvantula,
Kabuto,Kabutops,
Kangaskhan,,
Kangaskhan Mega Kangaskhan,,
Karrablast,Escavalier,
Kartana,,
Kecleon,,
Keldeo Ordinary Form,,
Keldeo Resolute Form,,
Klefki,,
Klink,Klang,Klinklang
Koffing,Weezing,
Komala,,
Krabby,Kingler,
Kricketot,Kricketune,
Kyogre,,
Kyogre Primal Kyogre,,
Kyurem,,
Kyurem Black Kyurem,,
Kyurem White Kyurem,,
Landorus Incarnate Form,,
Landorus Therian Form,,
Lapras,,
Larvesta,Volcarona,
Larvitar,Pupitar,Tyranitar
Latias,,
Latias Mega Latias,,
Latios,,
Latios Mega Latios,,
Lechonk,Oinkologne Female,
Lechonk,Oinkologne Male,
Lechonk,Oinkologne Male,
Lechonk,Oinkologne Female,
Ledyba,Ledian,
Lickitung,Lickilicky,
Lileep,Cradily,
Lillipup,Herdier,Stoutland
Litleo,Pyroar,
Litten,Torracat,Incineroar
Litwick,Lampent,Chandelure
Lopunny Mega Lopunny,,
Lotad,Lombre,Ludicolo
Lugia,,
Lunatone,,
Luvdisc,,
Machop,Machoke,Machamp
Magby,Magmar,Magmortar
Magikarp,Gyarados,
Magnemite,Magneton,Magnezone
Makuhita,Hariyama,
Manaphy,,
Manectric Mega Manectric,,
Mankey,Primeape,Annihilape
Mantyke,Mantine,
Maractus,,
Mareanie,Toxapex,
Mareep,Flaaffy,Ampharos
Marowak Alolan Form,,
Marshadow,,
Mawile,,
Medicham Mega Medicham,,
Meditite,Medicham,
Meloetta Aria Form,,
Meloetta Pirouette Form,,
Meltan,Melmetal,
Meowth Alolan Form,Persian Alolan Form,
Meowth Galarian Form,Perrserker,
Meowth,Persian,
Mesprit,,
Mew,,
Mewtwo,,
Mewtwo Armored Mewtwo,,
Mienfoo,Mienshao,
Miltank,,
Mime Jr.,Mr. Mime,
Minccino,Cinccino,
Minun,,
Misdreavus,Mismagius,
Moltres,,
Moltres Galarian Form,,
Morelull,Shiinotic,
Mr. Mime Galarian Form,Mr. Rime,
Mudbray,Mudsdale,
Mudkip,Marshtomp,Swampert
Munchlax,Snorlax,
Munna,Musharna,
Murkrow,Honchkrow,
Natu,Xatu,
Necrozma,,
Necrozma Dusk Mane Necrozma,,
Necrozma Dawn Wings Necrozma,,
Nidoran Female,Nidorina,Nidoqueen
Nidoran Male,Nidorino,Nidoking
Nihilego,,
Nincada,Ninjask,
Noibat,Noivern,
Nosepass,Probopass,
Numel,Camerupt,
Nymble,Lokix,
Oddish,Gloom,Bellossom
Oddish,Gloom,Vileplume
Oddish,Gloom,Vileplume
Oddish,Gloom,Bellossom
Omanyte,Omastar,
Onix,Steelix,
Oranguru,,
Oricorio,,
Oshawott,Dewott,Samurott
Pachirisu,,
Palkia,,
Palkia Origin Form,,
Pancham,Pangoro,
Panpour,Simipour,
Pansage,Simisage,
Pansear,Simisear,
Paras,Parasect,
Passimian,,
Patrat,Watchog,
Pawmi,Pawmo,Pawmot
Pawniard,Bisharp,
Petilil,Lilligant,
Phanpy,Donphan,
Phantump,Trevenant,
Pheromosa,,
Phione,,
Pichu,Pikachu,Raichu
Pidgeot Mega Pidgeot,,
Pidgey,Pidgeotto,Pidgeot
Pidove,Tranquill,Unfezant
Pikipek,Trumbeak,Toucannon
Pineco,Forretress,
Pinsir,,
Pinsir Mega Pinsir,,
Piplup,Prinplup,Empoleon
Plusle,,
Poipole,Naganadel,
Poliwag,Poliwhirl,Politoed
Poliwag,Poliwhirl,Poliwrath
Poliwag,Poliwhirl,Poliwrath
Poliwag,Poliwhirl,Politoed
Ponyta Galarian Form,Rapidash Galarian Form,
Ponyta,Rapidash,
Poochyena,Mightyena,
Popplio,Brionne,Primarina
Porygon,Porygon2,Porygon-Z
Psyduck,Golduck,
Pumpkaboo Average Size,Gourgeist Average Size,
Pumpkaboo Large Size,Gourgeist Large Size,
Pumpkaboo Small Size,Gourgeist Small Size,
Pumpkaboo Super Size,Gourgeist Super Size,
Purrloin,Liepard,
Pyukumuku,,
Quaxly,Quaxwell,Quaquaval
Qwilfish,,
Qwilfish Hisuian Form,Overqwil,
Raichu Alolan Form,,
Raikou,,
Ralts,Kirlia,Gallade
Ralts,Kirlia,Gardevoir
Rattata Alolan Form,Raticate Alolan Form,
Rattata,Raticate,
Rayquaza,,
Rayquaza Mega Rayquaza,,
Regice,,
Regidrago,,
Regieleki,,
Regigigas,,
Regirock,,
Registeel,,
Relicanth,,
Remoraid,Octillery,
Reshiram,,
Rhyhorn,Rhydon,Rhyperior
Riolu,Lucario,
Rockruff,Lycanroc Dusk Form,
Rockruff,Lycanroc Midday Form,
Rockruff,Lycanroc Midnight Form,
Roggenrola,Boldore,Gigalith
Rotom,,
Rotom Fan Rotom,,
Rotom Frost Rotom,,
Rotom Heat Rotom,,
Rotom Mow Rotom,,
Rotom Wash Rotom,,
Rowlet,Dartrix,Decidueye
Rufflet,Braviary,
Sableye,,
Sableye Mega Sableye,,
Salamence Mega Salamence,,
Salandit,Salazzle,
Samurott Hisuian Form,,
Sandile,Krokorok,Krookodile
Sandshrew Alolan Form,Sandslash Alolan Form,
Sandshrew,Sandslash,
Sandygast,Palossand,
Sawk,,
Scatterbug,Spewpa,Vivillon
Sceptile Mega Sceptile,,
Scizor Mega Scizor,,
Scraggy,Scrafty,
Scyther,Kleavor,
Scyther,Scizor,
Seedot,Nuzleaf,Shiftry
Seel,Dewgong,
Sentret,Furret,
Seviper,,
Sewaddle,Swadloon,Leavanny
Shaymin Land Form,,
Shaymin Sky Form,,
Shedinja,,
Shellder,Cloyster,
Shellos East Sea,Gastrodon East Sea,
Shellos West Sea,Gastrodon West Sea,
Shelmet,Accelgor,
Shieldon,Bastiodon,
Shinx,Luxio,Luxray
Shroomish,Breloom,
Shuckle,,
Shuppet,Banette,
Sigilyph,,
Skarmory,,
Skiddo,Gogoat,
Skitty,Delcatty,
Skorupi,Drapion,
Skrelp,Dragalge,
Skwovet,Greedent,
Slakoth,Vigoroth,Slaking
Slowbro Mega Slowbro,,
Slowpoke,Slowbro Galarian Form,
Slowpoke,Slowking Galarian Form,
Slowpoke,Slowbro,
Slowpoke,Slowking,
Slugma,Magcargo,
Smeargle,,
Smoliv,Dolliv,Arboliva
Smoochum,Jynx,
Sneasel Hisuian Form,Sneasler,
Sneasel,Weavile,
Snivy,Servine,Serperior
Snorunt,Froslass,
Snorunt,Glalie,
Snover,Abomasnow,
Snubbull,Granbull,
Solosis,Duosion,Reuniclus
Solrock,,
Spearow,Fearow,
Spheal,Sealeo,Walrein
Spinarak,Ariados,
Spinda,,
Spiritomb,,
Spoink,Grumpig,
Sprigatito,Floragato,Meowscarada
Spritzee,Aromatisse,
Squirtle,Wartortle,Blastoise
Stakataka,,
Stantler,,
Starly,Staravia,Staraptor
Staryu,Starmie,
Steelix Mega Steelix,,
Stufful,Bewear,
Stunfisk,,
Stunfisk Galarian Form,,
Stunky,Skuntank,
Suicune,,
Sunkern,Sunflora,
Surskit,Masquerain,
Swablu,Altaria,
Swampert Mega Swampert,,
Swinub,Piloswine,Mamoswine
Swirlix,Slurpuff,
Tadbulb,Bellibolt,
Taillow,Swellow,
Tangela,Tangrowth,
Tapu Bulu,,
Tapu Fini,,
Tapu Koko,,
Tapu Lele,,
Tauros,,
Teddiursa,Ursaring,Ursaluna
Tentacool,Tentacruel,
Tepig,Pignite,Emboar
Terrakion,,
Throh,,
Thundurus Incarnate Form,,
Thundurus Therian Form,,
Timburr,Gurdurr,Conkeldurr
Tirtouga,Carracosta,
Togedemaru,,
Togepi,Togetic,Togekiss
Torchic,Combusken,Blaziken
Torkoal,,
Tornadus Incarnate Form,,
Tornadus Therian Form,,
Totodile,Croconaw,Feraligatr
Trapinch,Vibrava,Flygon
Treecko,Grovyle,Sceptile
Tropius,,
Trubbish,Garbodor,
Turtonator,,
Turtwig,Grotle,Torterra
Tympole,Palpitoad,Seismitoad
Tynamo,Eelektrik,Eelektross
Typhlosion Hisuian Form,,
Tyranitar Mega Tyranitar,,
Tyrogue,Hitmonchan,
Tyrogue,Hitmonlee,
Tyrogue,Hitmontop,
Tyrunt,Tyrantrum,
Unown,,
Uxie,,
Vanillite,Vanillish,Vanilluxe
Varoom,Revavroom,
Venipede,Whirlipede,Scolipede
Venonat,Venomoth,
Venusaur Mega Venusaur,,
Victini,,
Virizion,,
Volbeat,,
Volcanion,,
Voltorb Hisuian Form,Electrode Hisuian Form,
Voltorb,Electrode,
Vullaby,Mandibuzz,
Vulpix Alolan Form,Ninetales Alolan Form,
Vulpix,Ninetales,
Wailmer,Wailord,
Weedle,Kakuna,Beedrill
Weezing Galarian Form,,
Whismur,Loudred,Exploud
Wimpod,Golisopod,
Wingull,Pelipper,
Wishiwashi School Form,,
Wishiwashi Solo Form,,
Woobat,Swoobat,
Wooloo,Dubwool,
Wooper Paldean Form,Clodsire,
Wooper,Quagsire,
Wurmple,Cascoon,Dustox
Wurmple,Silcoon,Beautifly
Wynaut,Wobbuffet,
Wyrdeer,,
Xerneas,,
Xurkitree,,
Yamask Galarian Form,Runerigus,
Yamask,Cofagrigus,
Yanma,Yanmega,
Yungoos,Gumshoos,
Yveltal,,
Zacian Hero of Many Battles,,
Zamazenta Hero of Many Battles,,
Zangoose,,
Zapdos,,
Zapdos Galarian Form,,
Zarude,,
Zekrom,,
Zigzagoon Galarian Form,Linoone Galarian Form,Obstagoon
Zigzagoon,Linoone,
Zorua,Zoroark,
Zubat,Golbat,Crobat
Zygarde 10% Form,Zygarde 50% Form,Zygarde Complete Form
Wiglett,Wugtrio,